DATE,Base: Total ($ Mil),Adj Close
1/31/2002,653800,1.374089956
2/28/2002,654600,1.374089956
3/31/2002,659000,1.374089956
4/30/2002,663400,1.374089956
5/31/2002,668600,1.374089956
6/30/2002,674000,1.374089956
7/31/2002,679300,1.374089956
8/31/2002,679800,1.374089956
9/30/2002,680400,1.374089956
10/31/2002,681900,1.374089956
11/30/2002,688500,1.374089956
12/31/2002,699200,1.374089956
1/31/2003,699300,1.124250054
2/28/2003,701000,1.124250054
3/31/2003,705300,1.374089956
4/30/2003,709600,2.37342
5/31/2003,713700,2.37342
6/30/2003,715000,2.37342
7/31/2003,717600,2.37342
8/31/2003,720900,2.37342
9/30/2003,721100,1.249169946
10/31/2003,724800,1.249169946
11/30/2003,730600,1.249169946
12/31/2003,739400,1.249169946
1/31/2004,736400,1.249169946
2/29/2004,735300,1.249169946
3/31/2004,736800,1.249169946
4/30/2004,741200,1.249169946
5/31/2004,745000,1.249169946
6/30/2004,750700,1.249169946
7/31/2004,757300,1.249169946
8/31/2004,757200,1.249169946
9/30/2004,762200,1.249169946
10/31/2004,763900,1.124250054
11/30/2004,770500,1.124250054
12/31/2004,776300,1.124250054
1/31/2005,775200,1.124250054
2/28/2005,772900,1.124250054
3/31/2005,773500,1.124250054
4/30/2005,775500,1.124250054
5/31/2005,776400,1.124250054
6/30/2005,780700,1.124250054
7/31/2005,782900,1.124250054
8/31/2005,782700,1.124250054
9/30/2005,787900,1.124250054
10/31/2005,787200,1.124250054
11/30/2005,793500,1.623919964
12/31/2005,803100,1.623919964
1/31/2006,804200,1.623919964
2/28/2006,804900,1.623919964
3/31/2006,810100,1.623919964
4/30/2006,809200,1.623919964
5/31/2006,812600,1.623919964
6/30/2006,812400,1.623919964
7/31/2006,811500,1.623919964
8/31/2006,809700,1.623919964
9/30/2006,810400,1.249169946
10/31/2006,809800,1.249169946
11/30/2006,816800,1.249169946
12/31/2006,826700,1.249169946
1/31/2007,823000,1.249169946
2/28/2007,820000,1.249169946
3/31/2007,820900,1.249169946
4/30/2007,823000,1.249169946
5/31/2007,825700,0.999339998
6/30/2007,827200,0.999339998
7/31/2007,828900,0.999339998
8/31/2007,829600,0.999339998
9/30/2007,827400,0.999339998
10/31/2007,829000,0.999339998
11/30/2007,834300,0.999339998
12/31/2007,837200,0.999339998
1/31/2008,830600,0.999339998
2/29/2008,829500,0.999339998
3/31/2008,833000,0.999339998
4/30/2008,830200,0.999339998
5/31/2008,834700,0.874419987
6/30/2008,840200,1.124250054
7/31/2008,847000,1.124250054
8/31/2008,847600,1.124250054
9/30/2008,909700,1.124250054
10/31/2008,1136400,1.124250054
11/30/2008,1442300,0.999339998
12/31/2008,1666400,0.999339998
1/31/2009,1712000,0.999339998
2/28/2009,1561700,0.999339998
3/31/2009,1647300,0.999339998
4/30/2009,1753200,0.999339998
5/31/2009,1775100,0.999339998
6/30/2009,1683700,0.999339998
7/31/2009,1673600,0.999339998
8/31/2009,1710800,0.999339998
9/30/2009,1801200,1.249169946
10/31/2009,1936300,1.249169946
11/30/2009,2024600,1.124250054
12/31/2009,2026200,1.124250054
1/31/2010,1995000,1.124250054
2/28/2010,2115200,1.124250054
3/31/2010,2079600,1.374089956
4/30/2010,2014400,1.374089956
5/31/2010,2012300,1.124250054
6/30/2010,2002400,1.124250054
7/31/2010,1994300,1.124250054
8/31/2010,1993700,1.124250054
9/30/2010,1961200,1.124250054
10/31/2010,1961700,1.124250054
11/30/2010,1973100,1.124250054
12/31/2010,2017000,1.124250054
1/31/2011,2047900,1.124250054
2/28/2011,2211600,1.124250054
3/31/2011,2395300,1.124250054
4/30/2011,2496600,1.124250054
5/31/2011,2567200,1.498999953
6/30/2011,2648500,1.498999953
7/31/2011,2684800,1.498999953
8/31/2011,2657700,1.498999953
9/30/2011,2637700,1.498999953
10/31/2011,2637800,1.498999953
11/30/2011,2605400,1.498999953
12/31/2011,2619600,1.498999953
1/31/2012,2640800,1.498999953
2/29/2012,2694400,1.498999953
3/31/2012,2655200,1.498999953
4/30/2012,2639800,1.498999953
5/31/2012,2616500,1.498999953
6/30/2012,2618800,1.498999953
7/31/2012,2647800,1.374089956
8/31/2012,2650700,1.374089956
9/30/2012,2594900,1.124250054
10/31/2012,2611800,1.124250054
11/30/2012,2646800,1.124250054
12/31/2012,2675900,1.124250054
1/31/2013,2741700,1.124250054
2/28/2013,2845300,1.124250054
3/31/2013,2935000,1.124250054
4/30/2013,3011700,1.124250054
5/31/2013,3116900,1.124250054
6/30/2013,3201500,1.124250054
7/31/2013,3290900,1.124250054
8/31/2013,3398900,1.124250054
9/30/2013,3486900,1.124250054
10/31/2013,3589500,1.124250054
11/30/2013,3684600,1.124250054
12/31/2013,3717500,0.999339998
1/31/2014,3728500,0.999339998
2/28/2014,3833400,0.999339998
3/31/2014,3885900,1.249169946
4/30/2014,3930700,1.249169946
5/31/2014,3911500,1.249169946
6/30/2014,3948700,1.249169946
7/31/2014,3989100,0.874419987
8/31/2014,4075000,0.874419987
9/30/2014,4049200,0.874419987
10/31/2014,4001500,0.874419987
11/30/2014,3830400,0.874419987
12/31/2014,3934500,0.874419987
1/31/2015,4017100,0.874419987
2/28/2015,3840500,0.874419987
3/31/2015,4030600,0.874419987
4/30/2015,4059400,0.874419987
5/31/2015,3949400,0.874419987
6/30/2015,3919600,0.874419987
7/31/2015,3961200,0.874419987
8/31/2015,3984000,0.874419987
9/30/2015,4028500,0.624580026
10/31/2015,4060500,0.624580026
11/30/2015,4006700,0.874419987
12/31/2015,3835800,0.874419987
1/31/2016,3792700,0.874419987
2/29/2016,3872500,0.874419987
3/31/2016,3898400,0.874419987
4/30/2016,3872900,0.874419987
5/31/2016,3836500,0.874419987
6/30/2016,3825500,0.874419987
7/31/2016,3772500,0.624580026
8/31/2016,3816700,0.624580026
9/30/2016,3735900,0.624580026
10/31/2016,3572100,0.624580026
11/30/2016,3629800,0.624580026
12/31/2016,3531600,0.624580026
1/31/2017,3595500,0.624580026
2/28/2017,3746400,0.624580026
3/31/2017,3856300,0.624580026
4/30/2017,3821700,0.499669999
5/31/2017,3774400,0.624580026
6/30/2017,3762800,0.624580026
7/31/2017,3795400,0.624580026
8/31/2017,3910000,0.624580026
9/30/2017,3874500,0.624580026
10/31/2017,3829900,0.624580026
11/30/2017,3907700,0.624580026
12/31/2017,3851000,0.624580026
1/31/2018,3824800,0.624580026
2/28/2018,3855100,0.624580026
3/31/2018,3800600,0.624580026
4/30/2018,3727100,0.624580026
5/31/2018,3674800,0.624580026
6/30/2018,3650500,0.624580026
7/31/2018,3618300,0.624580026
8/31/2018,3584500,0.624580026
9/30/2018,3559800,0.749499977
10/31/2018,3520900,0.749499977
11/30/2018,3476300,0.999339998
12/31/2018,3400700,0.999339998
1/31/2019,3346900,
2/28/2019,3353500,
3/31/2019,3381500,
4/30/2019,3286700,
5/31/2019,3244500,
6/30/2019,3274800,
7/31/2019,3260300,
8/31/2019,3271400,
9/30/2019,3202700,
10/31/2019,3252800,
11/30/2019,3315600,
12/31/2019,3426500,
1/31/2020,3442600,
2/29/2020,3454500,
3/31/2020,3883100,
4/30/2020,4844900,
5/31/2020,5149400,
6/30/2020,5001800,
7/31/2020,4700300,
8/31/2020,4807400,
9/30/2020,4880300,
10/31/2020,4917100,
11/30/2020,5093000,
12/31/2020,5206500,
1/31/2021,5248000,
2/28/2021,5446800,
3/31/2021,5839000,
4/30/2021,6042100,
5/31/2021,6041900,
6/30/2021,6027100,
7/31/2021,6130300,
8/31/2021,6328800,
